date,1024x768,1280x1024,1280x800,1680x1050,800x600,1440x900,1152x864
2008-07-04,2,3,0,0,0,1,0
2008-07-05,3,2,0,0,0,0,0
2008-07-06,4,3,0,1,0,0,0
2008-07-07,3,3,1,0,0,0,0
2008-07-08,3,3,0,1,0,0,0
2008-07-09,7,4,0,0,0,1,0
2008-07-10,5,4,2,1,0,5,0
2008-07-11,3,0,0,0,0,1,0
2008-07-12,2,1,0,1,0,2,0
2008-07-13,1,3,0,0,0,1,0
2008-07-14,2,4,0,0,1,0,0
2008-07-15,2,2,0,0,0,0,1
2008-07-16,5,2,1,0,3,0,0
2008-07-17,4,1,0,4,0,0,0
2008-07-18,3,6,0,4,0,1,0
2008-07-19,5,2,0,0,0,0,1
2008-07-20,1,2,1,1,0,0,0
2008-07-21,8,3,1,0,0,0,1
2008-07-22,0,3,1,0,0,0,0
2008-07-23,1,2,1,0,1,0,0
2008-07-24,4,1,2,0,0,2,0
2008-07-25,1,2,1,0,0,1,0
2008-07-26,0,0,1,1,0,3,1
2008-07-27,2,0,0,0,0,0,0
2008-07-28,3,2,0,1,0,2,0
2008-07-29,3,4,0,0,0,2,0
2008-07-30,3,0,1,1,1,0,0
2008-07-31,6,2,3,0,0,1,0
2008-08-01,2,2,0,0,0,0,0
2008-08-02,0,2,0,0,0,1,0
2008-08-03,1,0,0,0,0,0,0
